PE (V):30000, 3rd Electrode (V):15000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):3.5089755545322, 2st Solenoid wire current (A):-5.1642817615398
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,1004.9193107854,-0.050507633786869,-0.44267332894856,2385.1104222384,0.27306650454972,2.2625663308568
2,1004.9787418918,0.21489679901809,-2.2500805544553,2385.4943293179,-1.1022793284971,11.763513694797
3,1004.9418986206,2.6904313021604,3.0689553966337,2387.3272289016,-16.006665595232,-18.201832939699
4,1004.9316493267,-1.7227488435559,1.1137086916152,2385.4184400133,8.9571327836002,-5.8144965391606
5,1004.9386622278,-1.2117244223768,1.1786919577421,2385.3080075409,6.2603501293681,-6.1114142305734
6,1004.9494258968,-1.3731548297769,-1.9565441154944,2385.5529769628,7.2188939070839,10.24626781824
7,1004.9461740322,0.38083378315408,-0.18706270883086,2385.107082014,-1.9579644629847,0.94090690360894
8,1004.9115779586,-1.0209537299184,1.8686012219886,2385.4427209416,5.3058898436432,-9.7549687593956
9,1004.9752531617,2.1281365276912,2.5203547823084,2386.1013129925,-11.554913498826,-13.638551891955
10,1004.9310924476,-3.3195232959536,-1.2946595534823,2386.3556255883,18.3051811449,7.1030875331698
11,1004.974346096,-0.10370838962475,2.7492840958283,2385.7258057641,0.52541467088732,-14.570765306744
12,1004.9548668205,-3.07498381985,-2.2779731014427,2388.9062402647,21.95889823499,16.22383145781
13,1004.9452737568,1.9739447627273,-3.0841596866699,2389.219724087,-14.788840162157,23.171172726912
14,1004.9298020624,-1.1605166876587,3.9533174409868,2387.8624153862,7.2170883215825,-24.722246263039
15,1004.9835966412,2.6734527359451,2.7659458765756,2386.7331958577,-15.156308284065,-15.631385982205
16,1004.9311206592,-1.9412835733587,-0.66926030526507,2385.4189240175,10.112869698693,3.4650805668096
17,1004.9868111415,-3.1330335860736,0.79841148050713,2386.0419439218,16.906477357687,-4.3379792687398
18,1004.9909746585,-3.2096903646033,0.021707397141289,2386.0252813262,17.309454892849,-0.14526065292953
19,1004.9795633374,-2.1097696566937,-0.80171189151422,2385.4933551458,11.034925656459,4.1707359792021
20,1004.9453741636,-4.0574721822268,-0.23757378870514,2387.2728756617,23.98066003574,1.3660849794847
21,1004.9468953044,-1.7979691588729,-3.6357010688446,2387.2451548417,10.629923635039,21.410322486361
22,1004.9501237377,3.2980078356166,-1.0096318084381,2386.2343548131,-18.012972289685,5.5480550507775
23,1004.968774849,0.0075528989598587,3.3354576885609,2386.1308498319,-0.071111045283425,-18.115618627805
24,1004.9731306794,-2.2761976890102,-0.18993422526901,2385.5022001745,11.904704206368,0.97364729884464
25,1004.9496990217,-2.8736642087589,-0.22268367055204,2385.8035243956,15.2905438478,1.1585519905832
26,1004.9697976756,0.2878688393835,-0.85275929852009,2385.1527131168,-1.4697059835817,4.3758361825887
27,1004.9459055123,-1.7673075232161,2.9904898310944,2386.2545537329,9.6440436208704,-16.380759627757
28,1004.9684320113,2.712289482362,0.62123532104723,2385.7419363357,-14.396037696708,-3.2711644583387
29,1004.9628270476,-0.6551089548968,1.8226363004837,2385.3754421997,3.3853235773568,-9.4696912615129
30,1004.9291496534,0.024373827792847,3.4345327003785,2389.5593211575,-0.22846745496451,-27.517221765033
31,1004.926412083,0.52551313786178,1.6451804447449,2385.314269848,-2.7370773915711,-8.5146839528432
32,1004.9707563991,1.4919211458686,-2.9705085479236,2386.1221261436,-8.0700134779484,16.135809551348
33,1004.9632292564,0.95788961383462,-3.2287925597814,2386.157893747,-5.1831367924002,17.579374530199
34,1004.9773327186,-1.3353565939944,-3.6475053072555,2386.8004546636,7.6276238711005,20.734395518043
35,1004.9109439728,2.0591056907689,2.4742224059042,2389.8276498442,-17.570988521441,-21.064603620845
36,1004.9587583385,-1.6678816317251,-1.6527621542891,2385.5333356088,8.7484326330003,8.6397874547734
37,1004.9951506614,1.7972665315666,-2.6311908741332,2386.0104986631,-9.6598517032577,14.192817092007
38,1004.9894714546,-2.7350548189022,-1.6959744862918,2386.0310131486,14.769713876784,9.1256202600315
