PE (V):30000, 3rd Electrode (V):15000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):4.1387916797047, 2st Solenoid wire current (A):4.9259302956225
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,1004.9341984872,0.24368248596334,0.48626842335364,2387.1931987179,-18.087527766274,-36.094189728771
2,1004.9620394925,-0.0013550572825354,0.53147821647505,2385.6627025565,0.062939689750749,-25.333074561306
3,1004.9388519389,0.032100045878798,0.26513355770624,2388.2854285831,-5.1746274160441,-42.734028087253
4,1004.9352016572,0.31702436062104,-0.44686149332279,2387.1650102112,-23.299221265232,32.843710284667
5,1004.9147301688,-0.38313273769442,-0.16210184792572,2385.3817073155,17.255334175334,7.322521519138
6,1004.9670956186,-0.32795342268191,-0.49934041023286,2385.9963745946,16.796713617265,25.578300384481
7,1004.9195048568,0.21093286188449,-0.52405387353743,2385.7957316906,-10.29672748421,25.625191566571
8,1004.9789437861,-0.3241692760888,-0.18475278952565,2385.3188812822,14.433412430376,8.1945118184477
9,1004.9252390014,0.13347505413652,-0.41029008205387,2387.7210966644,-13.054417247967,40.126709815142
10,1004.9303523665,0.33940565788905,-0.39494785678139,2387.3088292715,-26.64845667285,31.009167646291
11,1004.9587093878,0.17964891806107,-0.50313215850531,2385.6725366263,-8.5834880807739,24.014995657792
12,1004.9495974711,0.14113568046766,0.087375089177692,2385.1237740151,-6.058309505515,-3.7899558212633
13,1004.9454624694,-0.17778811354215,-0.12692582403792,2388.4357118994,35.083988022231,25.047644660916
14,1004.9071018427,0.32212957012128,0.27191320894187,2385.3920324934,-14.560226600708,-12.244867397051
15,1004.9117760256,-0.38969340696365,0.41615577599724,2385.8202250691,19.194502834506,-20.476059378981
16,1004.9377568482,-0.54635176688971,0.075510452221024,2385.7291338284,26.332750494039,-3.6430385626244
17,1004.957597236,-0.58262227343144,-0.15308174082195,2386.0383948197,30.163144357334,7.928000332218
18,1004.9067722845,0.29144140454016,-0.090538174985709,2389.6942478429,39.526653864213,-12.279169814128
19,1004.9175036546,-0.58949963709565,-0.1840059737367,2386.2651917746,32.277830484577,10.065947299709
20,1004.9216732068,-0.48846268502213,-0.28080980678535,2385.7892095882,23.838015418751,13.689073403291
21,1004.9708788122,0.44195993132519,0.070654346214301,2385.4414186055,-20.115241359505,-3.2278926530418
22,1004.9892873053,0.27030928515237,-1.4110801848964,2391.5441797083,6.0876291951899,-31.79613666981
23,1004.9696039496,-0.2583770696597,-0.45758529955302,2385.6434929304,12.264785757504,21.721674266813
24,1004.9797616805,-0.30759906349449,0.50458341810288,2385.9382489891,15.536241096981,-25.486512350472
25,1004.9019289881,-0.019254653905615,0.12338284017103,2385.1064269095,0.92813336607058,-5.2524036886046
26,1004.9305850174,0.40402458461756,0.38363091207031,2385.7514042569,-19.560275644086,-18.572133746105
27,1004.938592101,0.66312802486068,-0.99791988390899,2391.202521736,19.161592185283,-28.838122352947
28,1004.934856893,0.26464890571899,-0.39469704189793,2385.5035518996,-12.215988422037,18.190284226699
29,1004.962032839,1.7975848152476,-1.1266901937424,2392.281841173,21.762449769831,-13.641208354824
30,1004.9308528303,-0.49474179542985,0.17607081864533,2387.2847531869,38.438080215195,-13.678449082047
31,1004.9865754951,-0.39912242138445,0.32231667811653,2385.6026590929,18.752468728468,-15.139128179631
32,1004.9155159806,0.10467112158071,-0.55789809576292,2385.8079344336,-5.1439071261245,27.373168574984
33,1004.942200322,0.54852883445493,-0.13613075725373,2387.0496830865,-38.482110691708,9.547758974453
34,1004.9121547004,0.60073044370335,0.15064482305316,2386.2987060569,-33.124060062892,-8.3126045364469
35,1004.9565886064,-0.11325377462037,-0.30698839047847,2385.2601317711,4.9776175165031,13.497491258453
36,1004.9687072113,0.20839882687565,0.39805899063338,2385.4443575013,-9.4964001198869,-18.125022733577
37,1004.9252922144,0.32262043347813,-0.27968459523354,2387.7416214337,-31.918193876614,27.66973572856
38,1004.9803752626,0.18713490207712,0.48245902445918,2385.62178977,-8.8240815914415,-22.745628535344
39,1004.9271491675,-0.38660925169098,-0.046522502283029,2387.8763308706,42.224216336379,5.0818970830069
40,1004.9588300006,-0.53661590323136,-0.27204740035935,2386.0324223439,27.746549548862,14.069626143104
41,1004.9170933371,-0.27386088890414,0.31090504565437,2385.3792647131,12.360885761144,-13.976512426328
42,1004.9111533888,0.16545503299882,1.0006723218382,2390.9385931158,5.9093416753904,35.741072032164
43,1004.9215026531,0.47732435010907,-0.090759082860947,2385.5303014528,-22.111987765504,4.1937979456351
44,1004.9244409989,0.27358434353332,0.39865485879629,2385.5233504961,-12.671271367831,-18.441165676805
45,1004.9395771961,-0.20053664813272,-0.16470683485769,2388.311689864,33.279927133862,27.333069210694
46,1004.9883613968,0.32650084745857,-0.38850445431984,2390.1008036,25.834180063559,-30.738918710129
47,1004.9899014429,-0.36782124414536,0.49438969271209,2386.4737713403,21.338241808104,-28.679259986427
48,1004.9308967169,0.3640548791092,0.49474136158101,2386.1843863526,-19.510552638651,-26.505188210857
49,1004.9304865959,-0.61120836599106,0.062041620182811,2386.1874580836,32.770686115613,-3.3331690647918
50,1004.9080239993,0.56697385445114,-0.080949340807858,2385.8331344469,-27.988483550943,4.0046096440685
51,1004.9184146971,0.413396130351,-0.001844821234634,2385.3780333293,-18.610166771696,0.044093703907711
52,1004.937969329,-0.10033237199177,-0.25793350451415,2388.2550269402,15.596018845815,40.091488355198
53,1004.9106749861,0.43082695891816,0.44556632167082,2386.3093588499,-23.798054037292,-24.62550090379
54,1004.9152752286,0.13140942124463,-0.2106617190138,2389.5862213743,22.06741264127,-35.378028081553
55,1004.9620726795,0.016424837277277,-0.5996189381024,2386.0173121674,-0.84267114735871,30.895274497575
56,1004.962966938,-0.39934164951142,-0.4501419611408,2386.7389677415,25.086719981282,28.269236771636
57,1004.9404612924,-0.46238630362543,0.29660296981825,2385.7222944662,22.262556461998,-14.264716585364
58,1004.9006571766,-0.60720699286394,0.12680546283668,2386.3799589479,34.227342351599,-7.1447411376613
59,1004.9684543034,0.11113405523725,0.30069431043059,2385.2471123682,-4.8862667981953,-13.207309501765
60,1004.9336234718,-0.13660468885523,-0.37942323141273,2385.3661327493,6.1362455349248,16.990717642138
61,1004.9606790939,0.3878320035593,-0.45854440080214,2386.0235513704,-20.014201187693,23.663018658099
62,1004.9376273054,0.36382655862188,-0.16766746120768,2385.3622893222,-16.287269697441,7.4777091499808
63,1004.9859946857,0.13417268904892,0.28054681653388,2385.2383501625,-5.8826450678955,-12.304242333482
64,1004.9652489961,-0.14667774696012,-0.070771552783752,2385.1208827671,6.2594126789304,3.1620918200729
65,1004.9286426242,-0.36650602496641,-0.03588905722703,2387.9583422852,42.447413863586,4.1567512672384
66,1004.9265838346,0.44419217189734,-0.1534601748054,2387.5597988699,-39.44087579033,13.627095225896
67,1004.947656843,0.36450263213087,0.40308816974191,2385.7071297611,-17.489678457394,-19.330840633941
68,1004.9485007482,-0.4735231019653,0.33806587690921,2386.9229754179,31.736796300433,-22.656938370372
69,1004.941700062,-0.56918296206688,0.22274136683687,2386.1185733052,29.978151939868,-11.736786523349
70,1004.9206653113,0.085322691751882,-0.19275630726799,2389.4991555161,16.957184133564,-38.309423137969
71,1004.9890851733,0.21619536878821,-0.37626818918893,2385.4241598866,-9.7945968245933,17.076811348278
